training-size,num-graded,NDPM1,NDPM2,NDPM3,NDPM4,NDPM5,AVG-NDPM,std-deviation
10,5,0.391694,0.327491,0.366546,0.525433,0.448276,0.411888,0.0689972489
15,6,0.374357,0.345018,0.361783,0.485045,0.407697,0.39478,0.0495918878
21,7,0.387502,0.346161,0.369023,0.504287,0.321204,0.3856354,0.0633518615
28,8,0.389026,0.329968,0.372642,0.506001,0.354163,0.39036,0.0610671179
36,9,0.387312,0.347685,0.322919,0.525243,0.373595,0.3913508,0.0704958366
45,10,0.376453,0.341017,0.340065,0.487902,0.333968,0.375881,0.057972434
55,11,0.357401,0.365403,0.344447,0.478948,0.322919,0.3738236,0.0544903858
66,12,0.355306,0.347876,0.327681,0.391694,0.331492,0.3508098,0.0228405761
78,13,0.350352,0.33473,0.332063,0.366165,0.326348,0.3419316,0.0144931826
91,14,0.348828,0.338922,0.318156,0.383311,0.336445,0.3451324,0.0215082733
105,15,0.350924,0.329587,0.327681,0.378548,0.339684,0.3452848,0.0185791534
120,16,0.352067,0.33816,0.321776,0.369785,0.311678,0.3386932,0.0207935353
136,17,0.323871,0.322347,0.317584,0.359688,0.296247,0.3239474,0.020434102
153,18,0.331111,0.329777,0.321204,0.33835,0.299867,0.3240618,0.0132669722
171,19,0.307487,0.325586,0.285578,0.31606,0.317394,0.310421,0.01368343
190,20,0.323109,0.315489,0.30482,0.307487,0.304439,0.3110688,0.0072157553
210,21,0.313774,0.304439,0.288817,0.309202,0.307868,0.30482,0.0085429212
231,22,0.311107,0.307678,0.306535,0.320442,0.29358,0.3078684,0.0086551318
253,23,0.312631,0.31244,0.320251,0.330349,0.293008,0.3137358,0.0122555099
276,24,0.307487,0.301391,0.321014,0.313965,0.29758,0.3082874,0.0084504542
300,25,0.283483,0.287674,0.273195,0.301581,0.290722,0.287331,0.0092662034
325,26,0.286531,0.292437,0.277577,0.29758,0.286721,0.2881692,0.0066895883
351,27,0.279482,0.294151,0.27491,0.296818,0.283864,0.285845,0.0084069343
378,28,0.280625,0.290532,0.262145,0.291865,0.277577,0.2805488,0.0107262101
406,29,0.26748,0.277386,0.257763,0.287674,0.262145,0.2704896,0.0108029656
435,30,0.265193,0.277958,0.257763,0.283102,0.261574,0.269118,0.0097462961
465,31,0.277767,0.275862,0.252239,0.293389,0.258144,0.2714802,0.0147431174
496,32,0.273957,0.268813,0.247857,0.273385,0.260621,0.2649266,0.0097786113
528,33,0.272814,0.270528,0.247095,0.260812,0.254715,0.2611928,0.0096234413
561,34,0.274528,0.270147,0.249,0.259669,0.246904,0.2600496,0.0110147798
595,35,0.262145,0.277005,0.245571,0.254715,0.257382,0.2593636,0.010341443
630,36,0.268242,0.269004,0.245571,0.251286,0.253953,0.2576112,0.0093932614
666,37,0.265193,0.266717,0.235092,0.244618,0.233949,0.2491138,0.0142492637
703,38,0.258906,0.264431,0.242141,0.23776,0.239284,0.2485044,0.0109799876
741,39,0.246333,0.271099,0.243094,0.238903,0.239474,0.2477806,0.0119634354
780,40,0.239284,0.263098,0.239284,0.227662,0.236616,0.2411888,0.0117571628
820,41,0.231663,0.261955,0.238712,0.22309,0.227662,0.2366164,0.0136683367
861,42,0.232806,0.240998,0.244618,0.224424,0.227091,0.2339874,0.0077791108
903,43,0.213183,0.241951,0.215851,0.21928,0.228615,0.223776,0.010478338
946,44,0.207468,0.243284,0.214136,0.225186,0.209564,0.2199276,0.0131860582
990,45,0.209564,0.23052,0.217184,0.207087,0.206135,0.214098,0.0090810366
1035,46,0.201562,0.229377,0.201753,0.200038,0.204991,0.2075442,0.0110350146
1081,47,0.19699,0.221185,0.199276,0.199657,0.190131,0.2014478,0.0104443543
1128,48,0.190703,0.211469,0.191084,0.202705,0.188988,0.1969898,0.0087263036
1176,49,0.196037,0.209183,0.184226,0.198133,0.17832,0.1931798,0.0108607954
1225,50,0.184988,0.201372,0.18232,0.189179,0.177558,0.1870834,0.0080792271
1275,51,0.18594,0.205753,0.1747,0.187464,0.177748,0.186321,0.0108406476
1326,52,0.176986,0.204991,0.158316,0.181177,0.179082,0.1801104,0.0148727754
1378,53,0.174509,0.192989,0.158697,0.188226,0.177939,0.178472,0.0119408868
1431,54,0.17089,0.18975,0.156411,0.180606,0.172033,0.173938,0.0110868988
1485,55,0.160602,0.186893,0.150505,0.179463,0.174319,0.1703564,0.0131249221
1540,56,0.16746,0.184035,0.148981,0.165936,0.172414,0.1677652,0.0113366928
1596,57,0.161174,0.180034,0.143837,0.164412,0.16346,0.1625834,0.0115069507
1653,58,0.158125,0.185369,0.135073,0.162888,0.162126,0.1607162,0.0159922032
1711,59,0.163841,0.178701,0.135454,0.164603,0.157554,0.1600306,0.0141007279
1770,60,0.156792,0.175843,0.136978,0.164222,0.150886,0.1569442,0.0130038849
1830,61,0.154315,0.17851,0.13393,0.164603,0.151076,0.1564868,0.0147898393
1891,62,0.152982,0.166127,0.132978,0.166889,0.144789,0.152753,0.0129090568
1953,63,0.156601,0.160221,0.132025,0.154887,0.140789,0.1489046,0.0107132484
2016,64,0.152029,0.150886,0.125548,0.146504,0.135073,0.142008,0.0101831151
2080,65,0.145742,0.147647,0.120213,0.142503,0.132216,0.1376642,0.0102229976
2145,66,0.144599,0.141741,0.120785,0.143646,0.124786,0.1351114,0.0101849415
2211,67,0.134121,0.13755,0.114498,0.140408,0.127072,0.1307298,0.009257794
2278,68,0.132025,0.132978,0.119451,0.139646,0.127072,0.1302344,0.0067170573
2346,69,0.128977,0.121547,0.108783,0.132025,0.11907,0.1220804,0.0081562986
2415,70,0.132025,0.126119,0.116594,0.123071,0.11888,0.1233378,0.005452055
2485,71,0.129739,0.118308,0.110688,0.119261,0.107259,0.117051,0.0077951334
2556,72,0.129167,0.120785,0.108973,0.121737,0.101543,0.116441,0.0098649932
2628,73,0.1225,0.115832,0.108783,0.106496,0.102305,0.1111832,0.0071586946
2701,74,0.11907,0.108021,0.103639,0.100019,0.0939227,0.10493434,0.0084432108
2775,75,0.120213,0.108402,0.0981139,0.0998285,0.0952562,0.10436272,0.0090562991
2850,76,0.111069,0.109354,0.100019,0.0925891,0.091827,0.10097162,0.0080872687
2926,77,0.109735,0.104401,0.103067,0.0981139,0.0923986,0.1015431,0.0058818089
3003,78,0.102496,0.0998285,0.0956373,0.084397,0.0901124,0.09449424,0.0065565823
3081,79,0.0935416,0.0901124,0.0885883,0.0887788,0.0906839,0.090341,0.0017847187
3160,80,0.0916365,0.0887788,0.091446,0.0861116,0.0872547,0.08904552,0.0022073307
3240,81,0.0863022,0.0878263,0.0878263,0.0771576,0.0821109,0.08424466,0.0041150726
3321,82,0.0847781,0.0828729,0.0855401,0.0767765,0.0826824,0.08253,0.0030776037
3403,83,0.0815393,0.075824,0.0798247,0.0792532,0.0760145,0.07849114,0.0022314918
3486,84,0.0805868,0.0786817,0.076586,0.0752524,0.075824,0.07738618,0.001977678
3570,85,0.0735378,0.0651553,0.0731568,0.0742999,0.0735378,0.07193752,0.0034113863
3655,86,0.0699181,0.0573443,0.0697276,0.068394,0.0674414,0.06656508,0.0046985092
3741,87,0.0640122,0.0558202,0.069156,0.0655363,0.060964,0.06309774,0.0044944579
3828,88,0.0622976,0.0579158,0.0621071,0.0611545,0.0645837,0.06161174,0.0021641337
3916,89,0.0529625,0.0586778,0.0594399,0.0586778,0.0468661,0.05532482,0.0048280293
4005,90,0.0533435,0.0537245,0.0582968,0.0584873,0.0455325,0.05387692,0.0047059124
4095,91,0.0499143,0.0510573,0.0529625,0.0537245,0.0472471,0.05098114,0.0023038583
4186,92,0.0455325,0.0514384,0.0468661,0.0481997,0.0447704,0.04736142,0.002350666
4278,93,0.0434368,0.0499143,0.0455325,0.0508668,0.0369594,0.04534196,0.0050072628
4371,94,0.0396266,0.0506763,0.0426748,0.0485807,0.0390551,0.0441227,0.0047077667
4465,95,0.0358163,0.0449609,0.0424843,0.0405792,0.0287674,0.03852162,0.0057247595
4560,96,0.0323871,0.0392456,0.0339112,0.0396266,0.0276243,0.03455896,0.0044915843
4656,97,0.0327681,0.037912,0.0302915,0.0346733,0.0274338,0.03261574,0.0035933753
4753,98,0.0289579,0.0371499,0.031244,0.0346733,0.0200038,0.03040578,0.0059109227
4851,99,0.030101,0.0352448,0.0253382,0.0318156,0.0165746,0.02781484,0.0064639563
4950,100,0.0228615,0.0314346,0.0236235,0.0278148,0.0184797,0.02484282,0.0044313857
5050,101,0.0213374,0.0314346,0.0219089,0.0228615,0.0120023,0.02190894,0.0061662589
5151,102,0.0186702,0.0219089,0.0207659,0.0196228,0.0118118,0.01855592,0.0035429065
5253,103,0.0137169,0.0177177,0.0112402,0.0118118,0.00819204,0.012535728,0.0031406398
5356,104,0.0198133,0.00971614,0.0106687,0.0110497,0.00590589,0.011430746,0.0045707117
5460,105,0.0140979,0.00895409,0.00781101,0.0108592,0.00209564,0.008763568,0.0039560511
