training-size,num-graded,NDPM
10,5,0.368642
15,6,0.366546
21,7,0.359688
28,8,0.373785
36,9,0.37531
45,10,0.372071
55,11,0.37931
66,12,0.411126
78,13,0.390551
91,14,0.363498
105,15,0.344637
120,16,0.36064
136,17,0.350352
153,18,0.358354
171,19,0.365212
190,20,0.367689
210,21,0.381787
231,22,0.388074
253,23,0.387693
276,24,0.381787
300,25,0.350543
325,26,0.362164
351,27,0.343875
378,28,0.337588
406,29,0.294342
435,30,0.29358
465,31,0.295485
496,32,0.278339
528,33,0.274147
561,34,0.272052
595,35,0.269766
630,36,0.288436
666,37,0.284626
703,38,0.284245
741,39,0.285007
780,40,0.245952
820,41,0.232806
861,42,0.232616
903,43,0.225948
946,44,0.228805
990,45,0.226519
1035,46,0.217375
1081,47,0.209945
1128,48,0.2008
1176,49,0.202705
1225,50,0.201943
1275,51,0.199657
1326,52,0.186321
1378,53,0.186321
1431,54,0.172985
1485,55,0.166698
1540,56,0.157173
1596,57,0.159649
1653,58,0.16003
1711,59,0.157173
1770,60,0.15622
1830,61,0.154696
1891,62,0.150505
1953,63,0.15241
2016,64,0.150505
2080,65,0.148981
2145,66,0.144218
2211,67,0.140027
2278,68,0.14136
2346,69,0.123262
2415,70,0.123262
2485,71,0.11507
2556,72,0.117737
2628,73,0.107259
2701,74,0.106115
2775,75,0.0981139
2850,76,0.0954468
2926,77,0.0908745
3003,78,0.084397
3081,79,0.083635
3160,80,0.0863022
3240,81,0.0813488
3321,82,0.0788722
3403,83,0.0794437
3486,84,0.0775386
3570,85,0.0712517
3655,86,0.068013
3741,87,0.0678224
3828,88,0.0630596
3916,89,0.0573443
4005,90,0.0510573
4095,91,0.0413412
4186,92,0.0405792
4278,93,0.0348638
4371,94,0.0323871
4465,95,0.0276243
4560,96,0.0182892
4656,97,0.0196228
4753,98,0.0137169
4851,99,0.0135264
4950,100,0.0120023
5050,101,0.00933511
5151,102,0.00533435
5253,103,0.00190512
5356,104,0.00190512
5460,105,0.00209564
