training-size,num-distinct,NDPM
10,16,0.389217
11,18,0.491522
12,20,0.433606
13,22,0.43494
14,24,0.444656
15,26,0.420652
16,28,0.385407
17,30,0.361593
18,31,0.355115
19,33,0.357592
20,35,0.347114
21,35,0.354925
22,36,0.377405
23,36,0.346923
24,37,0.334159
25,38,0.339303
26,40,0.362736
27,41,0.339303
28,41,0.345018
29,43,0.356639
30,45,0.346923
31,46,0.342351
32,46,0.321014
33,47,0.326538
34,49,0.333206
35,51,0.326348
36,52,0.326157
37,52,0.319108
38,53,0.304439
39,55,0.311869
40,55,0.322347
41,55,0.314155
42,56,0.294342
43,57,0.321585
44,59,0.288245
45,59,0.297009
46,60,0.283102
47,60,0.294723
48,61,0.270909
49,62,0.284626
50,63,0.27891
51,65,0.278339
52,65,0.278529
53,66,0.285769
54,67,0.273195
55,69,0.26748
56,69,0.269004
57,70,0.279291
58,71,0.257192
59,71,0.252239
60,72,0.27491
61,73,0.246714
62,73,0.250524
63,74,0.241379
64,75,0.242141
65,75,0.231473
66,76,0.238141
67,77,0.212993
68,77,0.228234
69,77,0.215851
70,77,0.228805
71,77,0.229377
72,77,0.218708
73,79,0.224995
74,79,0.223852
75,80,0.236616
76,82,0.216613
77,82,0.205944
78,83,0.210326
79,83,0.224233
80,83,0.204801
81,83,0.202515
82,85,0.191656
83,86,0.215089
84,86,0.188798
85,87,0.193942
86,87,0.19699
87,87,0.197942
88,87,0.19337
89,89,0.20442
90,90,0.205372
91,91,0.193942
92,91,0.188036
93,91,0.183273
94,91,0.196609
95,91,0.184797
96,91,0.191275
97,91,0.177367
98,91,0.178891
99,92,0.184607
100,92,0.191656
101,92,0.185178
102,92,0.169556
103,92,0.175462
104,92,0.167841
105,93,0.162126
106,94,0.153553
107,94,0.170699
108,95,0.17851
109,95,0.176986
110,96,0.164222
111,96,0.167651
112,96,0.180415
113,97,0.163079
114,97,0.17108
115,97,0.165365
116,97,0.159268
117,97,0.166127
118,97,0.162698
119,98,0.162698
120,98,0.165746
121,98,0.160793
122,98,0.184988
123,98,0.167079
124,98,0.171461
125,98,0.155458
126,98,0.163841
127,98,0.161555
128,98,0.144408
129,98,0.157744
130,98,0.148981
131,98,0.147457
132,98,0.158697
133,98,0.145933
134,98,0.157744
135,98,0.146314
136,98,0.149552
137,98,0.15622
138,98,0.141932
139,99,0.147457
140,99,0.153553
141,100,0.149933
142,100,0.132597
143,100,0.145552
144,100,0.153363
145,100,0.146314
146,100,0.137931
147,101,0.144789
148,101,0.135835
149,101,0.144218
